42045,4205,19168,48352,21340,31612,42746,48720,7778,11446,9334,0,14728,5278,23046,12251,46255,2132,21316,31280,22609,37479,32047,21353,26501,16533,26223,19443,19164,23751,7792,28012,35073,15089,15089,23015,16457,12632,13201,7897,8155,14097,7220,7897,4575,6224,40004,24812,35719,51833,17776,41707,13806,13214,88684,32655,8908,42873,12388,31908,20469,17442,21445,28195,34087
39077,16096,10297,52764,32677,45014,61652,62602,13897,8411,10460,13223,0,12588,34152,23588,60137,15684,35355,57493,33946,41891,36459,22434,37838,31462,47311,20747,28411,25065,18897,25045,48956,21032,21032,36425,29946,26774,5213,9033,6793,20216,18659,9033,12449,11552,65159,25894,32752,70596,29114,55590,19925,26703,102566,50869,20014,62647,23725,39989,17330,30930,32782,25228,38499
40397,8472,17520,45953,28283,38203,54841,55791,9088,8800,3962,6061,10579,0,26527,19194,53326,6694,28544,34761,29552,35080,29648,23927,33444,24651,33166,22239,21600,25061,11273,26364,42145,16399,16399,26496,23135,19963,9053,6565,3358,15407,11028,6565,4605,4630,58348,27386,34071,63785,24719,48779,15116,19892,95755,44058,12389,55836,19331,33218,18822,24119,28388,26547,31688
62883,19446,40006,30807,11913,14128,20240,21347,25978,29646,33061,22289,38455,26118,0,19072,20119,22973,18583,10753,13940,32529,24251,39553,4053,20474,8241,37643,30353,41951,22819,48850,14197,33289,33289,6142,26018,22304,36928,28735,31881,32297,21538,28735,23577,24424,17498,43012,45900,29327,17830,25192,32006,22886,72168,7832,20473,20367,18334,50108,41307,27003,11518,49033,19049
52541,12481,29664,32889,10563,20835,33694,37943,18351,20279,19143,11995,28773,15776,16632,0,35478,11915,10539,24790,11832,21990,13494,31926,15724,5196,15446,30017,11669,34324,15105,38508,24296,25662,25662,14311,8962,5137,23010,18393,17964,24671,11417,18393,15950,18222,30952,35386,46215,42781,4039,30930,24380,5719,77907,21287,16436,33821,1717,42482,30966,9947,10668,38691,18624
89681,41295,66804,34740,27458,20091,2002,4477,58372,58083,53379,46325,59074,52551,23136,36724,0,46245,29596,14316,27089,41617,27872,73210,22674,34332,26675,71523,41970,74344,49435,75648,16768,65683,65683,24576,37635,37868,57245,57835,52199,64691,45747,57835,56924,56027,7259,76670,83355,12471,35481,8251,64400,38085,53436,23178,42322,2188,35985,82502,68105,38620,29107,75831,23332
42074,3711,19197,45230,22905,33176,41466,42573,6498,10166,10535,2045,15928,5308,21766,13815,41345,0,22880,30000,24174,34332,25836,20073,28066,18097,23804,18164,20729,22471,6512,28041,36638,13809,13809,21736,18021,14197,14401,7926,9355,12818,7595,7926,3008,4019,38724,23532,26421,50553,19341,43272,12527,14779,90248,31375,7628,41593,13953,30629,20499,19006,15061,28224,30965
66285,21136,43409,26043,8512,14248,30886,31836,34976,34688,29983,20651,35678,29156,16299,8918,29372,20571,0,26727,12009,17243,977,49815,15392,10936,16545,48127,18575,50949,23761,52253,18190,42287,42287,13978,14240,14473,33850,34440,28803,41296,20073,34440,33528,32632,34393,53274,59960,39830,8752,24824,41005,14690,71800,20103,25092,31881,8544,59107,44710,15225,10336,52435,5555
70311,26875,47435,31599,17863,14920,12374,13481,33406,37074,40490,29718,53406,33546,10508,25022,12254,30402,24533,0,19890,38477,25043,46981,10192,31502,14193,45072,36302,49379,30247,56279,14990,40717,40717,12094,31968,28254,44357,36163,39310,39726,28967,36163,31005,31853,9632,50441,53329,21461,23780,20615,39435,28836,50811,8625,27902,12501,24284,57537,48736,32952,17467,56462,20503
72007,18956,49130,28060,4095,12642,29274,30224,29831,40410,35705,23475,41400,34877,12383,13874,27759,23395,11922,25115,0,25079,10199,55537,9267,16658,6565,41496,24297,45804,26585,57974,16578,37142,37142,8663,19962,20194,39572,29872,34525,36150,22897,29872,27430,38353,32781,58996,65681,38218,12631,23212,35859,20411,70188,18491,19983,30269,13135,53961,50432,20946,6257,58157,5560
73129,34719,50252,25571,28827,27473,43936,44887,41820,41531,36827,38705,42522,35999,31772,24632,42422,34153,16422,39704,25234,0,18917,56658,30864,15905,29770,54971,25418,57793,37343,59096,30612,49131,49131,29450,21084,21316,40693,41283,35647,48139,33655,41283,40372,39475,47443,60118,66803,52881,23076,37874,47848,21533,69485,33080,38674,44931,18978,65950,51553,19023,25808,59279,20957
65615,27204,42738,25372,14932,13577,30215,31166,34305,34017,29312,31191,35008,28485,16803,9421,28701,26639,1968,26057,5280,18686,0,49144,15895,10266,15875,47456,17904,50278,29829,51582,17519,41616,41616,14482,13569,13802,33179,33769,28133,40625,26141,33769,32857,31961,33722,52604,59289,39160,9255,24153,40334,14019,71130,19432,31160,31210,9047,58436,44039,14554,16581,51765,4884
32599,22786,16483,67035,46329,59285,60541,76873,17147,18256,28124,22567,18283,26717,40841,37239,74408,21569,49626,49075,47598,56162,50730,0,51490,45733,42879,4413,42682,5901,25587,18208,63227,9113,9113,40810,44217,37621,22593,22936,23078,10891,26670,22936,19138,19949,57799,3459,8521,69628,42765,69861,9917,40974,116837,50450,26703,60668,37377,13014,7825,45201,34136,19341,52770
